Age,Class of Worker,Educational Attainment,Marital Status,Occupation,Place of Birth,Hours Worked per Week,Sex,Race,Target
52,0,19,0,310,22,36,1,0,0
54,6,15,0,5000,22,40,1,0,1
23,5,19,4,705,22,40,0,0,0
23,5,19,4,440,22,40,0,0,0
66,5,20,2,4920,17,40,1,0,1
51,4,20,0,7140,22,60,0,0,1
70,0,15,0,705,22,40,0,0,1
63,0,9,0,6305,22,40,0,0,1
47,0,15,0,3930,22,40,1,0,0
29,0,18,4,1006,22,40,0,0,0
27,0,19,0,4700,164,45,1,0,1
55,0,15,2,5400,22,40,1,0,1
76,0,13,2,4720,22,16,0,1,0
68,0,17,0,440,22,40,0,0,1
46,0,18,2,3603,22,35,1,1,0
66,0,20,0,2320,51,16,1,0,0
54,0,17,4,3645,22,32,1,1,0
22,0,0,4,4220,22,40,0,1,0
56,2,15,1,230,22,40,1,1,0
46,1,15,0,3602,6,40,1,8,0
47,0,15,0,7210,6,40,0,8,1
52,3,14,4,9121,22,10,1,1,0
17,0,12,4,4150,22,1,0,1,0
18,1,17,0,2600,22,10,1,0,0
29,1,18,0,3322,22,42,1,0,1
27,2,15,0,3870,22,45,0,0,1
78,0,17,0,205,22,40,0,0,1
29,0,15,0,6260,314,35,0,8,0
57,6,15,0,7315,327,60,0,8,0
41,0,19,0,630,22,40,1,0,1
46,5,18,0,6355,22,40,0,0,0
21,0,17,4,9130,22,30,0,0,0
30,2,21,0,2002,22,40,1,0,0
31,2,18,0,650,22,40,0,1,0
55,0,20,0,5120,22,35,1,0,0
56,5,22,0,2100,22,70,0,0,1
43,6,17,2,20,22,45,0,0,1
36,0,18,0,4700,22,45,1,0,1
32,0,21,0,350,22,40,1,0,1
46,0,20,0,705,35,40,0,0,0
20,5,18,4,6355,22,40,0,0,0
38,2,20,0,2320,22,50,0,0,1
33,2,20,0,2320,22,50,1,0,1
47,0,18,2,5740,12,41,1,0,0
24,0,20,0,4700,22,40,0,0,1
23,0,16,0,3424,22,40,1,0,0
37,6,15,4,310,303,45,1,7,0
20,0,14,4,5400,48,40,1,7,0
19,0,15,4,4020,48,25,0,7,0
41,5,17,0,6355,22,40,0,0,0
40,2,19,0,2555,22,40,1,0,0
49,2,22,4,2100,22,75,0,8,1
60,4,20,0,800,22,40,1,1,1
62,0,20,0,4760,22,50,0,1,1
28,0,20,4,3255,22,40,1,1,1
25,0,20,4,2310,22,40,1,1,1
80,2,19,0,9130,22,15,0,1,0
47,0,17,4,9760,22,21,0,1,0
30,0,18,4,9300,22,40,0,1,0
32,2,15,2,2545,22,36,1,0,0
56,0,21,0,4965,13,40,1,8,1
57,0,20,0,4760,22,40,0,0,1
41,2,18,0,3710,22,40,0,0,0
36,0,18,0,20,48,40,1,0,0
61,0,20,4,3270,119,40,1,0,1
62,1,17,4,3500,119,47,1,0,1
43,4,20,4,700,48,40,0,0,1
83,1,20,0,3330,22,40,0,0,1
42,0,18,0,6800,22,84,0,0,1
28,0,17,4,51,22,40,0,0,0
27,0,17,4,410,22,40,0,0,1
63,0,20,4,5740,5,42,1,0,1
57,0,15,1,5140,22,47,1,0,1
64,0,18,0,5000,22,40,1,1,0
71,5,17,1,4920,13,4,0,0,1
40,0,18,2,4850,22,40,1,0,0
18,0,12,4,4720,22,30,1,0,0
38,0,14,0,6260,22,48,0,8,0
32,1,20,4,3255,22,40,1,0,1
32,0,19,4,220,22,40,0,0,1
79,0,20,1,3255,48,40,1,0,1
33,0,17,4,9650,303,40,0,8,0
44,0,19,2,3255,22,40,1,1,0
50,0,23,0,3050,22,45,1,1,1
53,0,15,0,9130,22,30,0,1,0
59,0,15,0,9122,48,40,1,0,0
55,0,16,0,7200,22,40,0,0,1
32,0,18,0,4700,22,55,1,0,1
32,0,20,0,3255,22,30,1,0,0
30,0,19,0,2600,22,40,0,1,0
65,0,21,0,1006,28,55,0,1,1
66,0,19,0,3255,22,45,1,1,0
28,0,18,0,9645,22,20,1,0,0
27,0,19,0,6305,22,45,0,0,0
54,1,22,0,3645,48,40,1,0,1
42,5,22,0,4655,20,30,1,0,0
68,6,22,0,4820,210,45,0,5,1
64,0,22,0,4760,110,39,0,0,1
42,0,22,0,5740,22,20,1,0,0
43,0,22,0,2100,22,40,0,0,1
39,2,20,0,2330,22,60,1,0,0
43,7,15,0,5600,22,40,0,0,0
48,0,14,2,3603,22,25,1,0,0
52,0,15,2,5360,22,40,1,0,1
23,0,18,0,4010,22,30,1,0,0
64,0,18,1,5410,1,45,1,0,1
43,5,17,0,6520,22,45,0,0,1
42,0,19,0,3620,22,30,1,0,0
40,0,15,2,8740,5,60,0,0,1
34,5,15,4,4700,22,15,0,0,0
42,0,21,4,230,22,40,1,0,1
45,5,12,3,9130,22,50,0,0,1
31,0,18,0,4850,22,40,0,0,1
71,0,16,0,4251,22,16,0,0,1
31,5,20,0,5310,22,24,1,0,0
36,1,17,0,8140,22,50,0,0,1
48,5,15,0,8140,36,35,0,8,1
26,1,21,4,2003,22,32,1,8,0
32,0,18,4,3640,22,36,1,0,0
32,0,19,0,4760,22,40,0,0,1
29,0,15,0,3649,22,40,1,0,0
48,0,14,4,6410,2,40,0,7,0
32,0,20,0,800,22,40,0,0,1
62,3,21,3,1760,1,65,0,0,1
67,3,17,0,9430,22,25,0,0,1
63,0,18,0,5230,5,40,1,0,1
37,2,19,2,5360,22,55,1,0,1
25,0,20,4,1007,22,40,1,0,1
51,0,20,4,2752,26,10,0,0,0
49,0,15,0,4700,22,38,1,0,0
48,4,15,0,8990,21,40,0,0,0
34,0,16,4,20,22,40,0,0,1
43,2,17,0,3870,22,40,1,1,0
23,0,15,4,4720,22,35,1,1,0
44,0,15,2,5610,22,40,0,1,0
26,2,16,4,5521,22,45,1,7,0
54,0,21,0,705,13,47,1,0,1
53,3,21,0,2205,38,40,0,0,1
17,0,12,4,3960,47,8,0,0,0
41,3,21,0,2555,48,50,0,0,1
42,2,21,0,2320,48,50,1,0,1
50,6,18,0,4000,22,34,1,8,0
48,0,19,0,4760,51,50,0,0,1
57,0,16,2,8740,22,68,1,0,0
48,5,21,0,2810,22,40,0,2,0
48,2,22,0,2100,39,40,1,0,1
50,0,20,0,4760,22,45,0,0,1
51,0,20,0,3255,34,40,1,0,0
23,2,20,0,2310,22,40,1,0,0
24,0,16,0,1108,22,30,0,0,0
26,0,20,4,4700,22,40,1,0,0
70,0,15,0,4760,28,60,0,0,1
47,4,20,0,9810,72,12,0,7,1
59,0,20,2,4760,22,70,0,0,1
35,0,19,0,565,22,40,0,0,1
34,0,20,0,3255,22,38,1,0,0
65,1,21,0,10,22,50,1,0,1
65,5,22,0,2100,22,50,0,0,1
59,5,20,0,4760,22,40,0,0,0
59,5,19,0,5740,22,40,1,8,0
70,6,18,0,220,301,15,0,0,1
45,0,21,0,3255,22,40,1,1,1
46,0,15,0,52,22,40,0,1,1
48,0,15,2,9620,22,84,0,1,1
27,6,18,4,4760,22,25,1,0,0
43,0,16,4,3603,22,40,1,1,0
28,0,19,0,7330,22,65,0,0,0
26,0,19,0,4760,22,24,1,0,0
57,2,15,2,9121,48,25,1,0,0
69,3,18,0,4920,22,1,1,0,0
46,0,18,2,530,47,40,1,1,1
74,0,20,0,2002,22,8,1,0,1
67,2,15,0,9121,6,7,1,0,0
64,5,15,0,9130,22,60,0,0,0
45,3,20,0,5250,22,60,1,1,0
49,3,15,0,4120,22,55,0,1,0
40,0,17,4,4110,22,35,0,1,0
44,2,21,0,2320,22,50,1,0,1
45,2,21,0,230,28,60,0,0,1
46,0,23,2,3050,247,80,1,5,1
37,1,20,0,420,23,42,1,0,0
41,0,21,0,4055,23,22,0,0,0
70,6,16,0,220,22,40,0,0,1
67,0,15,0,4760,22,40,1,0,1
37,0,14,4,3602,22,50,0,0,1
50,0,18,0,9130,22,24,0,0,1
50,0,18,0,3500,22,40,1,0,1
40,5,18,0,4510,22,28,1,0,0
41,2,18,0,3870,22,45,0,0,0
44,1,15,0,3255,314,40,0,8,1
48,0,18,0,3602,22,70,1,0,0
56,0,20,0,4760,26,50,0,0,1
53,1,20,0,2300,22,27,1,0,0
80,0,20,2,800,22,15,1,0,0
60,2,15,2,2545,22,40,1,0,1
65,0,20,0,9130,22,55,0,0,1
64,0,15,0,5120,1,36,1,0,0
56,0,18,2,3545,48,40,1,0,0
32,0,18,3,5740,22,30,1,0,0
54,5,16,1,3602,22,24,1,0,0
31,0,18,0,6520,22,40,0,0,1
21,0,17,4,7750,22,40,0,0,0
64,0,15,3,3603,22,40,1,1,1
36,0,13,3,4251,22,40,0,1,0
29,0,15,4,6260,22,40,1,1,0
56,0,14,0,8740,22,45,0,0,1
73,5,21,2,410,22,40,1,0,0
68,6,20,2,4810,22,30,1,1,1
37,5,20,2,9130,22,20,0,1,0
42,0,18,3,4110,36,23,1,8,0
20,0,15,4,4110,22,38,0,8,0
17,0,14,4,4110,48,16,1,8,0
73,6,20,0,800,22,50,0,0,1
57,0,14,0,9130,22,50,0,1,0
62,2,17,0,3930,28,9,1,1,0
60,0,21,0,440,6,16,1,0,0
50,0,13,2,6260,48,40,0,8,1
45,0,17,2,4720,22,30,1,0,0
42,1,21,0,350,22,50,1,0,1
46,5,18,0,4810,22,45,0,0,1
33,0,20,0,2300,22,28,1,0,0
36,4,20,0,10,22,40,0,0,1
60,6,15,0,5740,22,40,1,0,1
61,6,15,0,9005,22,60,0,0,0
18,0,15,4,4720,22,10,1,1,0
20,1,15,4,5740,22,10,0,0,0
23,1,16,4,5740,22,20,0,0,0
34,0,18,4,1551,29,60,0,0,1
33,0,15,4,4110,6,30,1,0,0
61,1,21,2,2320,22,50,0,0,1
52,3,21,2,1640,22,65,1,0,0
63,3,15,4,4220,29,40,0,0,0
61,0,0,1,4020,22,38,1,0,0
55,0,18,2,120,28,40,1,0,1
24,0,20,4,3620,22,40,0,0,0
54,4,20,2,2015,36,40,1,1,1
31,5,18,4,3630,36,8,0,1,0
51,6,18,0,9121,22,30,1,0,0
52,0,17,0,2360,22,40,0,0,1
60,0,20,2,800,30,44,1,0,1
29,0,20,4,1010,29,40,1,0,1
23,0,15,4,4760,22,24,1,1,0
49,5,22,0,2100,48,20,0,0,1
51,0,22,0,2100,22,45,1,0,1
63,1,19,2,3255,13,36,0,0,1
33,0,19,0,5610,22,50,0,0,1
32,3,20,0,1980,139,40,1,0,0
35,5,18,3,9620,22,40,0,8,0
38,5,17,4,6230,22,30,0,8,0
32,0,20,0,1050,6,40,1,0,1
41,6,15,4,9130,22,45,0,1,1
47,0,14,4,4230,22,20,1,1,0
63,0,17,0,440,22,40,0,0,0
60,2,15,0,5810,22,8,1,0,1
62,5,15,2,4230,22,10,1,0,0
27,0,15,4,3255,22,16,1,1,0
28,0,18,4,4760,22,40,0,1,0
67,0,19,2,2145,27,40,0,0,1
29,0,20,4,5240,22,40,1,1,0
68,0,16,0,4020,39,40,1,0,0
59,0,15,0,9130,37,50,0,0,1
66,0,20,2,120,24,40,1,0,1
39,5,17,4,4251,22,30,1,0,0
51,0,18,4,4810,22,40,0,0,1
30,0,20,0,51,22,40,0,8,1
51,0,15,0,4700,22,40,0,1,0
50,3,20,0,2320,22,45,1,1,0
56,1,20,0,1006,22,40,0,0,1
55,2,21,0,2310,9,60,1,0,0
50,5,12,0,540,22,50,1,0,0
57,6,19,0,440,22,40,0,0,0
75,5,20,0,940,22,48,0,0,1
39,0,16,1,6800,22,99,0,0,1
55,0,8,0,6410,22,32,0,8,1
45,3,21,0,52,224,48,0,0,1
60,4,15,0,5000,22,20,1,1,0
63,6,13,0,9130,22,14,0,1,1
29,0,20,4,9130,22,40,0,1,0
70,0,20,4,5240,22,15,1,1,1
77,6,22,0,2100,22,5,0,0,1
78,0,16,0,750,25,35,0,0,1
83,1,23,0,2205,22,40,0,0,1
73,0,15,0,7700,28,35,0,0,1
71,0,18,0,7700,22,40,1,0,1
23,0,14,4,4251,28,40,0,0,1
24,0,15,4,7200,22,50,0,0,0
63,0,15,0,4230,22,21,0,1,0
45,1,20,2,3255,22,48,1,8,1
41,0,20,2,1520,22,91,1,2,1
20,0,15,4,8600,22,84,0,8,1
45,2,13,0,4251,48,4,0,0,0
38,0,20,4,4920,22,55,0,0,1
52,0,14,0,3602,22,72,1,1,0
50,4,12,0,3945,22,8,0,1,1
33,2,18,4,9122,22,47,1,1,0
50,3,23,0,230,40,50,1,0,1
50,3,21,0,2320,48,40,0,0,1
65,5,15,0,4251,22,20,0,0,0
62,0,20,0,3255,22,40,1,0,0
49,2,21,2,2310,22,60,1,0,1
44,0,20,2,630,39,50,0,0,1
47,0,17,0,5000,22,40,0,1,0
43,5,15,1,4251,48,6,0,8,0
60,0,20,2,9240,22,50,0,1,1
39,1,19,0,7410,22,40,0,0,0
38,1,21,0,120,22,50,1,0,1
59,2,18,4,530,22,40,0,1,0
59,0,15,0,136,22,35,1,0,0
22,0,19,4,5400,22,20,1,0,0
64,0,12,1,4720,22,32,1,1,0
66,0,20,0,3300,22,40,1,0,1
55,0,20,0,150,22,45,0,0,0
46,5,18,0,4920,22,70,1,0,0
44,3,21,4,800,22,40,1,1,1
23,1,20,4,735,22,20,1,1,0
40,2,15,0,3870,22,40,0,7,1
24,4,19,4,4600,48,30,1,7,0
37,0,16,0,6800,22,99,0,0,1
35,0,20,0,9121,22,35,1,0,0
61,1,23,4,4220,22,40,0,0,0
30,5,15,0,6355,22,40,0,0,0
29,0,15,0,3402,22,40,1,0,0
71,0,23,0,2205,48,40,1,0,1
49,3,20,0,800,22,40,0,0,0
21,0,15,4,4720,22,10,1,0,0
75,5,21,2,4760,22,8,1,0,0
46,5,20,0,2600,48,35,0,0,1
35,0,18,0,5240,22,40,1,0,0
54,6,18,3,540,22,40,1,1,1
48,5,18,0,4950,22,60,0,0,1
19,0,15,4,4030,22,40,1,0,0
17,0,13,4,9645,22,6,0,0,0
34,1,20,0,3255,22,36,0,0,1
29,0,20,0,3255,5,36,1,0,1
22,0,15,4,6410,48,30,1,1,0
67,0,20,2,9645,1,40,1,0,0
43,0,20,0,10,22,50,0,0,1
43,3,20,0,2310,22,45,1,0,0
35,0,16,0,6410,26,32,0,0,0
38,0,15,0,7700,22,45,0,0,1
35,0,0,0,4030,22,8,1,0,0
50,0,14,4,9121,22,40,1,1,1
55,0,15,4,9620,22,84,1,1,1
59,0,15,0,910,22,40,1,0,1
53,6,20,0,1310,22,50,0,0,1
27,2,20,4,2310,22,40,0,0,0
39,0,20,0,1410,39,60,1,0,1
51,1,22,0,2205,22,60,0,8,1
24,6,12,4,4521,22,50,1,8,0
18,0,15,4,137,22,35,0,8,0
74,5,10,0,205,22,50,0,0,1
37,0,16,4,5400,22,40,1,0,0
58,0,15,0,7200,22,50,0,0,1
80,0,18,0,4640,39,40,0,0,1
80,0,18,0,4640,39,40,1,0,1
71,0,13,0,6305,22,40,0,0,1
73,5,20,0,800,22,40,0,0,1
72,5,17,0,4621,48,6,1,0,0
49,1,20,2,800,22,40,1,0,1
21,0,17,4,4750,28,40,0,0,0
21,0,18,4,5240,28,40,1,1,0
56,0,15,4,310,22,8,1,1,0
56,1,12,2,5860,22,40,0,1,0
41,0,20,4,4220,22,57,1,1,0
74,5,15,0,4510,12,6,1,0,0
36,4,18,4,700,22,40,1,0,1
37,0,15,0,6410,22,70,0,0,1
63,2,17,0,440,29,40,1,0,1
62,0,17,0,1530,22,40,0,0,1
54,5,17,0,9130,26,70,0,0,1
19,0,15,4,4110,26,40,1,0,0
21,0,15,4,7210,22,95,0,0,1
66,2,19,0,2310,55,8,0,1,0
64,0,14,0,4622,22,40,1,1,0
37,0,15,0,9620,22,50,0,0,0
51,2,15,0,9121,22,25,1,1,0
69,0,13,0,4140,28,6,0,1,0
32,0,18,4,4120,22,30,1,1,0
27,0,19,4,4140,22,8,0,1,0
42,1,21,2,1600,2,43,1,8,0
37,0,15,0,5522,22,40,1,0,0
42,1,15,0,1551,22,35,0,0,1
39,0,20,4,3255,22,40,1,0,0
34,5,20,0,2752,36,40,0,8,0
42,5,20,0,2752,110,30,1,8,0
30,0,20,0,3255,110,20,1,0,0
33,0,20,0,1530,51,50,0,0,1
76,6,22,1,800,210,25,1,5,1
54,0,15,0,9645,22,40,0,0,0
61,0,16,0,5240,22,40,1,0,0
26,4,15,4,9825,6,40,0,0,0
45,3,20,2,2360,22,40,1,0,1
21,0,16,4,2905,18,40,0,0,0
58,5,20,0,4810,22,30,1,0,0
62,6,18,0,4220,29,40,0,0,1
35,1,21,0,540,22,40,0,0,0
57,0,20,0,4700,5,40,1,0,0
50,3,18,0,6355,5,40,0,0,1
48,0,20,4,750,22,80,0,8,1
58,0,18,0,136,22,40,0,0,1
59,0,15,0,3515,22,40,1,0,1
58,4,17,1,5550,22,40,1,0,1
62,3,20,0,2002,22,10,0,0,1
42,0,19,0,5240,45,45,1,8,1
52,0,16,0,9645,22,35,0,8,0
28,3,22,4,150,6,40,1,0,1
38,5,19,0,4760,1,30,1,1,0
41,0,0,0,4055,1,40,0,1,0
55,1,15,2,2640,28,32,1,0,0
27,0,21,4,10,48,40,0,8,1
66,0,14,2,3930,22,40,0,1,0
47,0,20,0,1006,41,40,1,0,1
49,2,17,0,3740,22,50,0,0,1
22,0,15,4,2636,22,40,1,1,1
20,0,18,4,9130,47,40,0,0,0
19,0,17,4,4030,48,24,0,0,0
31,3,21,0,2825,13,40,1,0,1
32,0,20,0,4850,22,40,0,0,1
56,4,17,2,7030,42,40,0,0,1
68,2,20,2,2545,22,40,1,1,1
30,0,18,4,3500,22,60,1,1,1
59,0,18,0,102,22,40,0,0,1
59,0,18,0,5120,53,21,1,0,0
27,0,18,4,20,22,40,1,0,0
58,3,15,0,2014,22,50,1,1,1
54,0,15,0,1460,39,50,0,0,1
58,5,0,2,4540,22,40,0,0,1
59,0,0,2,4720,22,40,1,0,0
55,0,15,2,6050,22,80,0,0,0
59,5,22,0,2555,22,21,1,0,1
68,0,15,0,4220,22,10,0,1,0
53,0,20,0,5400,501,40,1,0,0
58,0,15,0,2905,24,4,0,0,0
43,0,19,4,8990,22,40,0,0,1
43,0,16,2,5240,22,25,0,0,0
53,0,15,0,4760,28,40,0,0,1
62,0,20,0,8990,22,48,0,1,0
46,0,15,0,6442,22,84,0,0,1
50,0,15,0,4700,22,40,1,0,1
24,0,20,4,6660,22,45,0,0,1
38,0,18,0,1555,22,40,0,5,1
33,0,20,0,4720,233,40,1,5,0
31,0,19,4,7020,22,40,0,5,0
59,0,21,0,600,22,40,0,0,1
49,1,18,0,5710,22,40,1,0,0
20,0,18,4,7330,24,30,0,0,0
52,0,15,4,5860,22,40,1,1,0
46,5,0,0,4850,303,50,0,7,0
45,0,0,0,6050,303,70,1,7,0
28,0,0,4,6050,303,60,0,7,0
54,1,20,0,800,22,40,1,0,1
62,6,15,0,8140,22,40,0,0,1
45,0,19,0,440,22,40,1,0,0
44,0,15,0,7700,22,40,0,0,1
61,2,15,2,5120,22,40,1,0,0
51,0,14,0,6200,22,84,0,0,1
48,2,15,0,9121,22,40,1,0,0
41,5,0,0,9610,313,20,0,7,0
22,0,15,4,4020,313,35,0,7,0
46,1,20,0,2310,22,11,1,8,0
46,0,20,0,440,22,50,0,8,1
44,0,15,0,8950,22,40,1,2,0
56,0,18,4,2545,22,40,1,1,0
32,0,21,0,350,22,40,1,0,0
36,6,17,0,6660,22,36,0,0,1
63,4,18,0,5560,22,40,0,1,1
35,0,19,0,1305,22,40,0,7,0
36,4,19,0,3930,22,40,1,7,0
46,2,15,2,6305,22,50,0,1,0
20,0,18,4,3603,28,30,1,1,0
60,0,15,0,440,301,60,0,0,0
57,0,13,0,9620,54,60,1,0,0
19,0,14,4,8710,34,40,0,0,0
32,0,20,0,6950,22,84,0,0,1
28,1,15,0,4700,22,40,1,0,0
22,0,17,4,6260,22,55,0,0,1
22,0,15,4,6442,22,50,0,0,1
62,3,18,1,750,22,40,1,1,0
43,0,14,4,5810,22,40,0,1,0
37,0,19,4,1430,22,40,1,7,1
46,6,20,0,4710,22,80,0,0,1
45,0,20,0,4760,22,60,1,0,1
56,5,9,4,6115,22,3,0,2,0
37,3,23,0,2205,207,40,1,5,1
71,0,16,0,220,22,6,0,0,1
70,1,15,0,4220,6,6,1,0,0
34,0,20,4,4040,18,50,0,0,0
32,0,17,4,4040,48,40,1,7,0
40,0,18,0,5740,22,45,1,0,0
43,0,18,0,6200,22,60,0,0,1
22,0,18,4,4110,22,15,1,0,0
72,0,22,4,2100,12,25,0,0,1
47,0,18,2,137,22,50,1,0,1
57,0,15,2,20,22,70,0,0,1
31,2,17,0,9122,37,24,1,0,0
34,4,10,0,6305,22,40,0,0,0
31,0,18,0,4810,22,40,1,1,0
36,0,21,0,440,22,40,0,1,1
66,3,22,2,630,22,40,1,0,1
32,0,18,4,205,22,45,0,0,1
37,0,15,3,440,40,50,1,0,0
20,0,18,4,4760,40,20,1,0,0
22,0,18,4,5860,22,20,1,0,0
78,0,15,1,5330,6,40,1,0,1
58,0,17,3,2360,22,40,1,0,0
64,0,15,2,5710,22,40,1,0,0
29,0,15,4,1050,22,40,0,8,0
39,3,21,0,2014,22,40,1,0,0
35,0,16,0,8740,22,40,0,0,1
62,0,15,0,4510,12,11,1,0,1
43,4,20,0,9830,27,50,1,0,1
75,5,22,4,4540,42,3,0,0,1
70,0,18,0,9620,22,24,0,1,0
30,0,22,4,3256,22,40,1,0,1
35,4,13,2,7700,28,40,0,0,1
60,0,15,1,6200,22,40,0,0,1
22,0,15,4,6710,22,24,0,0,0
22,0,15,4,6710,22,24,0,0,0
18,0,16,4,6260,22,24,0,0,0
36,0,17,2,1560,22,50,0,0,0
61,5,15,0,4251,22,37,0,0,0
62,4,15,0,5550,22,40,1,0,1
31,0,20,4,6200,22,40,0,0,0
40,0,16,4,4020,22,34,1,1,0
28,5,15,0,205,22,70,0,0,0
33,0,15,0,8320,22,70,0,0,1
32,0,20,0,4850,5,40,1,0,1
63,0,15,0,3601,22,36,1,1,0
62,0,16,0,7810,22,35,0,1,1
76,2,21,2,2320,22,38,0,0,0
59,0,20,2,4850,17,37,1,0,1
66,6,22,1,2100,22,40,0,0,0
51,0,15,4,3602,22,44,1,1,0
60,0,18,2,9050,110,40,1,0,0
55,0,16,0,4720,22,40,1,0,0
51,0,18,4,9350,22,10,1,1,0
33,0,15,0,9645,22,40,1,0,0
37,0,11,0,4760,22,38,0,0,0
55,0,15,2,4020,22,32,1,0,0
61,0,12,1,500,22,35,1,0,0
69,0,22,0,2100,40,30,1,0,1
70,1,21,0,2060,22,30,0,0,0
51,4,19,0,2360,22,40,0,0,1
42,1,19,0,3645,22,40,1,0,0
63,0,20,0,800,22,40,0,8,1
61,1,19,0,3220,22,24,1,0,0
37,3,20,4,1360,22,40,1,0,1
60,0,15,0,4030,120,37,1,0,0
44,0,20,2,705,22,50,1,0,1
39,0,19,4,20,22,40,0,0,1
61,0,15,0,6800,22,84,0,2,1
61,0,20,1,5860,22,40,1,1,0
74,0,20,4,340,22,18,0,0,0
70,0,18,4,4510,22,20,0,0,0
58,6,23,0,3010,22,40,0,0,0
58,0,23,0,5000,22,40,1,0,0
21,0,18,4,5860,22,20,0,0,0
47,0,15,0,5400,22,32,1,8,0
50,0,15,0,7315,22,40,0,0,0
30,0,17,0,4700,22,40,1,8,1
48,0,17,0,9130,22,40,0,0,0
56,4,0,0,2300,22,40,1,1,0
58,0,0,0,3930,22,40,0,1,0
30,0,19,0,7330,22,40,0,0,1
31,0,17,0,630,22,40,1,0,0
58,1,0,4,3603,22,18,1,1,0
56,0,0,4,4220,22,40,0,1,0
51,0,19,0,5840,48,40,1,0,1
43,0,20,0,2840,48,40,0,0,0
19,2,15,4,9430,22,40,0,0,0
60,0,20,2,2710,22,40,0,1,1
80,3,19,0,3602,22,11,1,1,0
54,0,18,0,10,1,40,0,0,1
77,3,17,1,5860,22,20,1,1,0
58,0,19,4,4720,22,6,1,1,0
60,0,19,0,3255,301,40,1,0,1
50,6,13,4,2100,22,50,1,1,1
50,1,15,2,7000,22,40,0,0,0
20,0,15,4,8990,222,3,0,0,0
57,3,20,0,2015,22,40,1,0,1
54,0,16,0,6200,22,40,0,0,1
77,0,14,0,6305,22,40,0,0,1
46,0,18,0,220,22,40,1,0,1
77,0,16,2,3930,6,24,1,0,0
44,0,18,2,4700,22,50,1,0,1
18,0,13,4,4055,22,25,1,0,0
63,1,21,0,3255,48,45,1,0,1
65,6,17,0,4540,48,20,0,0,0
62,0,15,2,7330,22,40,0,0,1
43,5,15,0,440,22,50,0,0,0
54,0,15,0,7000,22,40,0,0,1
20,0,15,4,4110,28,10,1,0,0
21,0,15,4,4110,28,10,1,0,0
18,0,15,4,4110,28,10,1,0,0
53,0,19,0,3500,22,40,1,0,1
51,0,19,0,7430,22,40,0,0,1
30,0,10,1,4055,22,25,1,0,0
33,0,20,4,630,48,40,0,8,1
26,0,17,4,4720,22,46,0,0,1
26,0,18,4,5240,22,40,1,0,0
37,0,20,0,3255,22,40,1,0,1
40,2,18,0,3870,22,50,0,7,0
54,0,15,0,1555,37,40,0,0,1
51,1,20,0,2310,22,45,1,0,0
22,0,18,4,5160,22,40,1,0,0
18,0,13,4,4350,22,20,1,0,0
43,0,20,0,850,22,40,0,0,1
41,1,23,0,3090,22,40,1,0,1
62,0,18,2,120,22,40,1,0,1
39,0,18,0,440,22,40,1,0,1
40,0,17,0,8990,48,50,0,1,1
39,0,20,0,600,22,40,1,0,1
38,2,19,0,7200,28,40,0,0,0
60,0,18,2,2710,48,40,0,1,1
57,1,22,4,3090,9,54,0,0,1
42,4,19,0,5000,39,60,0,0,1
34,3,19,0,5940,22,40,1,0,0
37,0,20,4,1410,22,40,0,0,1
49,0,15,0,6355,22,40,0,0,0
43,0,15,0,1560,22,40,1,0,1
82,6,20,0,1305,22,30,0,0,1
53,4,20,2,2830,22,40,1,0,1
51,2,18,0,1006,22,40,0,0,0
20,0,18,4,6260,22,45,0,0,0
18,2,13,4,1108,22,24,0,0,0
30,0,15,4,4965,22,40,1,1,0
55,2,21,4,2440,22,40,0,1,0
63,0,15,0,5240,22,25,1,0,0
46,4,18,3,9645,22,40,1,1,0
44,0,19,1,7330,22,60,0,0,1
44,0,19,0,350,28,40,1,0,1
41,4,19,0,3255,28,40,1,0,1
31,3,20,2,2320,163,40,0,0,1
43,3,20,2,2310,22,48,1,0,1
58,0,15,2,9130,12,70,0,8,1
45,0,21,2,120,6,40,1,1,1
38,0,0,0,6410,329,50,0,8,1
21,6,15,4,4720,22,48,1,1,0
80,0,12,2,6050,22,40,0,1,0
30,0,17,0,440,48,50,0,0,1
27,0,15,0,5860,22,20,1,0,0
50,1,20,0,2040,21,55,0,0,1
52,1,18,0,230,37,45,1,1,0
61,0,15,2,4700,22,48,0,0,0
79,0,19,0,2060,22,10,0,0,0
43,6,20,0,2100,22,45,0,2,1
43,2,21,0,230,22,40,1,0,1
65,0,15,0,5300,22,40,1,0,0
48,2,18,0,2545,22,65,0,1,0
59,2,15,0,4220,22,40,1,1,0
28,1,21,4,2002,48,40,0,0,0
29,6,20,4,2910,42,20,1,0,0
27,0,20,0,1360,22,40,0,0,1
28,0,20,0,4810,22,40,1,0,1
68,5,15,0,6115,22,12,0,0,0
45,0,12,0,7700,48,40,0,0,1
35,0,15,4,4720,22,39,1,4,0
45,0,16,0,220,2,40,0,0,0
19,0,15,4,9640,22,15,1,4,0
49,2,12,1,4130,22,35,1,0,0
45,2,20,0,2330,22,2,1,0,1
40,6,21,0,310,110,10,0,0,0
17,0,13,4,4110,22,9,1,0,0
32,0,16,0,6210,22,50,0,2,0
66,1,21,4,2002,36,60,1,0,1
33,0,21,0,1460,210,40,1,5,1
35,0,20,0,7340,210,40,0,5,1
76,2,18,0,7700,22,35,0,0,1
66,3,17,0,2545,22,37,1,0,0
